Abbreviation,Skrót,
About,O programie,
Account,Konto,
Against,Przeciwny,
All,Wszystko,
Amended From,Zmienione z,
Amendment reasons (if any),Powody zmiany (jeśli takie istnieją),
Analizuj zakupy,Analizuj zakupy,
Bank Entry,Operacja bankowa,
Brak dziennika,Brak dziennika,
Błąd generowania JPK: {0},Błąd generowania JPK: {0},
"Błąd podczas tworzenia dostawcy – duplikat, ale nie można odczytać","Błąd podczas tworzenia dostawcy – duplikat, ale nie można odczytać",
Błąd podczas tworzenia dostawcy: {0},Błąd podczas tworzenia dostawcy: {0},
Błąd walidacji danych: {0},Błąd walidacji danych: {0},
Cash Entry,Wpis gotówkowy,
Clear Demo Data,Wyczyść dane demonstracyjne,
Code,Kod,
Company,Firma,
Consecutive Number,Liczba kolejna,
Contact e-mail,Adres e-mail kontaktowy,
Contra Entry,Odpis aktualizujący,
Country name missing.,Brak nazwy kraju.,
Credit,Ma,
Credit Card Entry,Karta kredytowa,
Credit Note,Faktura Korygująca,
Czy podmiot powiazany?,Czy podmiot powiazany?,
Data faktycznej sprzedaży / wydania towaru / wykonania usługi (P_6),Data faktycznej sprzedaży / wydania towaru / wykonania usługi (P_6),
Data sprzedaży KSeF,Data sprzedaży KSeF,
Data wystawienia KSeF,Data wystawienia KSeF,
Debit,Winien,
Debit Note,Nota debetowa,
Default Employee Advance Account,Domyślne konto zaliczkowe dla pracownika,
Default Expense Claim Payable Account,Domyślne konto do zapłaty w ramach roszczenia o zwrot kosztów,
Default Payroll Payable Account,Domyślne konto do zapłaty z tytułu wynagrodzeń,
Depreciation Entry,Wpis amortyzacji,
Domyślna grupa GTU dla towaru/usługi,Domyślna grupa GTU dla towaru/usługi,
Dozwolone Entry Types (dla Journal Entry),Dozwolone Entry Types (dla Journal Entry),
Dozwolone typy dokumentów źródłowych,Dozwolone typy dokumentów źródłowych,
Dziennik,Dziennik,
E-mail,E-mail,
Entry Type,Rodzaj wpisu,
Exchange Rate Revaluation,Ustawienia przewalutowania,
Excise Entry,Akcyza numeru strony,
Expenses,Koszty,
Forma opodatkowania,Forma opodatkowania,
Forwarded excess of input tax,Przekazana nadwyżka podatku naliczonego,
Frappe Support,Wsparcie Frappe,
Full name,Pełne imię i nazwisko,
GTU,GTU,
Grupa Towarów i Usług,Grupa Towarów i Usług,
HR & Payroll,Kadry i Płace,
HR & Payroll Settings,Ustawienia Kadr i Płac,
Inter Company Journal Entry,Zamówienie międzyfirmowe,
Intrastat - Dostawa towarów,Intrastat - Dostawa towarów,
Is it amendment?,Czy to jest poprawka?,
JPK,JPK,
JPK Company Settings,Ustawienia firmy JPK,
JPK Forma Opodatkowania,JPK Forma Opodatkowania,
JPK Kod Urzędu,JPK Kod Urzędu,
JPK Pozycja Bilansu,JPK Pozycja Bilansu,
JPK Pozycja RZiS,JPK Pozycja RZiS,
JPK REGON,JPK REGON,
JPK Tag Podatkowy,JPK Tag Podatkowy,
JPK Tax Office,Urząd Skarbowy JPK,
JPK Znacznik Konta,JPK Znacznik Konta,
JPK i KSeF,JPK i KSeF,
JPK-V7M wygenerowany pomyślnie,JPK-V7M wygenerowany pomyślnie,
JPK_V7M,JPK_V7M,
JPK_VAT Eksport,JPK_VAT Eksport,
JPK_VAT GTU,JPK_VAT GTU,
JPK_VAT IED,JPK_VAT IED,
JPK_VAT IED Kod Kraju,JPK_VAT Kod regionu IED,
JPK_VAT SW,JPK_VAT SW,
JPK_VAT Typ Transakcji,JPK_VAT Typ Transakcji,
Journal Entry,Wpis dziennika,
KSeF,KSeF,
KSeF ID,Identyfikator KSeF,
KSeF Status,Status KSeF,
KSeF i JPK,KSeF i JPK,
Keyboard Shortcuts,Skrót klawiszowy,
Klasyfikacja KUP/NKUP dla JPK_KR_PD,LIFO,
Kod GTU,Kod GTU,
Kod asortymentu,Kiedy asortyment,
Kod dziennika,Kod dziennika,
Kod kraju dla IED (2 znaki),Kod kraju dla IED (2 znaki),
Kod urzędu skarbowego (np. 1415),Kod urzędu skarbowego (np. 1415),
Konto zobowiązań w USD,Konto zobowiązań w USD,
Mechanizm Podzielonej Płatności,Mechanizm Podzielonej Płatności,
Month,Miesiąc,
NIP,SKAKAĆ,
NIP jest wymagany,NIP jest wymagany,
New,Nowy,
No,Nie,
Nowa faktura zakupu,Nowa faktura zakupu,
Numer REGON (jeśli dotyczy),Numer REGON (jeśli dotyczy),
Odwrotne obciążenie / TP / OSS,Odwrotne obciążenie / TP / OSS,
Opening Entry,Pozycja otwarcia,
Opis,Opis,
Oznaczenia GTU / procedury KSeF,Oznaczenia GTU / procedury KSeF,
PL,PL,L
Party,Strona,
Party Type,Rodzaj Strony,
Phone Number,Numer telefonu,
Phone Number (optional),Numer telefonu (opcjonalnie),
Polish Accounting,Księgowość polska,
Polish Accounting Settings,Polskie Ustawienia Rachunkowości,
Posting Date,Czas publikacji,
Procedura JPK,Procedura JPK,
Procedura specjalna,Procedura specjalna,
Reason for Correction,Powód korekty,
Recipient,Odbiorca,
Remarks,Notatki,
Sekcja JPK,Sekcja JPK,
Sekcja KSeF,Sekcja KSeF,
Submitted,Zatwierdzony,
System Health,Zdrowie systemu,
System Manager,Menadżer Systemu,
Tax ID,ID podatku,
Tax Office,Urząd Skarbowy,
Tax Office Code,Kod Urzędu Skarbowego,
Tax Office Name,Nazwa urzędu skarbowego,
Towar przeznaczony na eksport,Towar przeznaczony na eksport,
Typ dokumentu,Typ dokumentu,
Utworzono nowego dostawcę: {0} ({1}),Utworzono nowego dostawcę: {0} ({1}),
VAT Month,Miesiąc VAT,
VAT rozliczany w miesiącu,VAT rozliczany w miesiącu,
Verify,Zweryfikować,
Voucher No,Numer dokum.,
Voucher Type,Typ dokumentu,
W koszty,W koszty,
Will be used by Tax Office,Będzie używany przez Urząd Skarbowy,
Write Off Entry,Wpis kończący,
Year,Rok,
Yes,Tak,
Zaksięgowano,Zaksięgowano,
Zarejestruj,Zarejestruj,
Zatwierdź,Zatwierdź,
abbr,skr,
api_url,api_url,
cert_pass,cert_pass,
cert_pfx,cert_pfx,
credit_to_usd,kredyt_do_USD,
description,opis,
dziennik_definicja,dziennik_definicja,
item_code,kod_pozycji,
jpk,jpk,
select_entry_type,wybierz_typ_wpisu,
select_voucher_type,wybierz_typ_dokumentu,
test_api_url,test_api_url,
Środek Wysokoenergetyczny,Środek Wysokoenergetyczny,
